id,한국명,기존 콘텐츠,변경 후 콘텐츠,변경 후 영상
ezareth,에사레스,아레나광역,아레나광역 · 타이탄초월,https://youtu.be/FNkDUIq3HYo
demi,데미,,타이탄초월,https://youtu.be/FNkDUIq3HYo
beelzebub,바알세불,,타이탄초월,https://youtu.be/FNkDUIq3HYo
magda,마그다,,타이탄초월,https://youtu.be/FNkDUIq3HYo
ajax,아자크스,,타이탄초월,https://youtu.be/FNkDUIq3HYo
praetus,플레트스,,타이탄초월,https://youtu.be/FNkDUIq3HYo
ingrid,잉그리드,심연 · 아레나광역,심연 · 아레나광역 · 타이탄초월,https://youtu.be/FNkDUIq3HYo
elowyn,엘로윈,심연,심연 · 타이탄초월,https://youtu.be/FNkDUIq3HYo
sun-wukong,손오공,심연 · 아레나단일,심연 · 아레나단일 · 타이탄초월,https://youtu.be/FNkDUIq3HYo
